market_id,event_id,event_title,market_question,reason,model_name,prompt_version,processed_at
252842,902780,Will US attack Iran by Nov 30?,Will US attack Iran by Nov 30?,No concrete economic channel,llama3:latest,historical-market-filter-v3,2026-06-13 19:39:55.193059+00:00
253119,902880,OpenAI permanent CEO by Dec 31?,OpenAI permanent CEO by Dec 31?,No concrete economic channel,llama3:latest,historical-market-filter-v3,2026-06-13 19:39:55.193059+00:00
253121,902882,Was Sam Altman fired for sexually abusing his sister?,Was Sam Altman fired for sexually abusing his sister?,No concrete economic channel,llama3:latest,historical-market-filter-v3,2026-06-13 19:39:55.193059+00:00
253122,902883,Will Sam Altman join Grok by Dec 31?,Will Sam Altman join Grok by Dec 31?,No concrete economic channel,llama3:latest,historical-market-filter-v3,2026-06-13 19:39:55.193059+00:00
253123,902884,Was Sam Altman fired due to data leak / privacy issue?,Was Sam Altman fired due to data leak / privacy issue?,No concrete economic channel,llama3:latest,historical-market-filter-v3,2026-06-13 19:39:55.193059+00:00
253124,902885,Sam Altman announces new company by Nov 24?,Sam Altman announces new company by Nov 24?,No concrete economic channel,llama3:latest,historical-market-filter-v3,2026-06-13 19:39:55.193059+00:00
253125,902886,Will Sam Altman sue OpenAI?,Will Sam Altman sue OpenAI?,No concrete economic channel,llama3:latest,historical-market-filter-v3,2026-06-13 19:39:55.193059+00:00
253165,902894,Emmett Shear still CEO of OpenAI by end of week?,Emmett Shear still CEO of OpenAI by end of week?,No concrete economic channel,llama3:latest,historical-market-filter-v3,2026-06-13 19:39:55.193059+00:00
253166,902895,OpenAI board out by end of week?,OpenAI board out by end of week?,No concrete economic channel,llama3:latest,historical-market-filter-v3,2026-06-13 19:39:55.193059+00:00
253223,902933,Will Elon Musk visit Gaza in 2023?,Will Elon Musk visit Gaza in 2023?,No plausible economic transmission channel exists.,llama3:latest,historical-market-filter-v3,2026-06-13 19:40:07.206900+00:00
253568,903171,Will Iran officially join the war before February?,Will Iran officially join the war before February?,No plausible economic transmission channel exists.,llama3:latest,historical-market-filter-v3,2026-06-13 19:40:07.206900+00:00
254049,903309,Will US attack Iran by February 15?,Will US attack Iran by February 15?,No plausible economic transmission channel exists.,llama3:latest,historical-market-filter-v3,2026-06-13 19:40:07.206900+00:00
254184,903358,US/Iran declare war before March?,US/Iran declare war before March?,no concrete economic channel exists,llama3:latest,historical-market-filter-v3,2026-06-13 19:40:17.650285+00:00
254185,903359,OpenSea acquired before March?,OpenSea acquired before March?,Not a financial market-related event.,llama3:latest,historical-market-filter-v3,2026-06-13 19:40:17.650285+00:00
254271,903388,TikTok/UMG deal before March?,TikTok/UMG deal before March?,Not a financial market-related event.,llama3:latest,historical-market-filter-v3,2026-06-13 19:40:17.650285+00:00
254321,903398,Will Warpcast break top 5 on the iOS App Store in February?,Will Warpcast break top 5 on the iOS App Store in February?,This event does not have a concrete economic channel that would directly affect publicly traded stocks or equity ETFs.,llama3:latest,historical-market-filter-v3,2026-06-13 19:40:30.757667+00:00
254331,903402,Will Warpcast flip X on the app store in February?,Will Warpcast flip X on the app store in February?,This event does not have a concrete economic channel that would directly affect publicly traded stocks or equity ETFs.,llama3:latest,historical-market-filter-v3,2026-06-13 19:40:30.757667+00:00
254557,903499,Ukraine aid package by March 31?,Ukraine aid package by March 31?,This event does not have a concrete economic channel that would directly affect publicly traded stocks or equity ETFs.,llama3:latest,historical-market-filter-v3,2026-06-13 19:40:30.757667+00:00
255308,903731,Coinbase a top 25 app in March?,Coinbase a top 25 app in March?,This event does not have a concrete economic channel that would directly affect publicly traded stocks or equity ETFs.,llama3:latest,historical-market-filter-v3,2026-06-13 19:40:30.757667+00:00
255314,903737,Musk drops OpenAI case in March?,Musk drops OpenAI case in March?,This event does not have a concrete economic channel that would directly affect publicly traded stocks or equity ETFs.,llama3:latest,historical-market-filter-v3,2026-06-13 19:40:30.757667+00:00
