input_hash,market_id,event_id,event_title,market_question,model_name,prompt_version,relevant,reason,processed_at
8375fba8c1d9672e13cd300e51cd1f17614ff0332d1d9ddd4b995f4b699230eb,252842,902780,Will US attack Iran by Nov 30?,Will US attack Iran by Nov 30?,llama3:latest,historical-market-filter-v3,False,No concrete economic channel,2026-06-13 19:39:55.193059+00:00
e728e8ea351b6a56e8aa957cacfce3439f317a9255f2adbee00b7aabab242450,253119,902880,OpenAI permanent CEO by Dec 31?,OpenAI permanent CEO by Dec 31?,llama3:latest,historical-market-filter-v3,False,No concrete economic channel,2026-06-13 19:39:55.193059+00:00
beb539c5507110dd10cdc9d880d015c9a5fd7ab9217c0941c47b86725d27a07f,253121,902882,Was Sam Altman fired for sexually abusing his sister?,Was Sam Altman fired for sexually abusing his sister?,llama3:latest,historical-market-filter-v3,False,No concrete economic channel,2026-06-13 19:39:55.193059+00:00
f3fba7c1c6dccb882089df4dd0af52c443f18f507005bff43765d967b62293e7,253122,902883,Will Sam Altman join Grok by Dec 31?,Will Sam Altman join Grok by Dec 31?,llama3:latest,historical-market-filter-v3,False,No concrete economic channel,2026-06-13 19:39:55.193059+00:00
4f668ab601cf30d7b261ae5ae510f389125ebf09b0eabd3c561b6cf38f3a3d16,253123,902884,Was Sam Altman fired due to data leak / privacy issue?,Was Sam Altman fired due to data leak / privacy issue?,llama3:latest,historical-market-filter-v3,False,No concrete economic channel,2026-06-13 19:39:55.193059+00:00
a2f192c725b34f8cc385191bdee005a08d0eb6561b4688eada3478d24b4d3a02,253124,902885,Sam Altman announces new company by Nov 24?,Sam Altman announces new company by Nov 24?,llama3:latest,historical-market-filter-v3,False,No concrete economic channel,2026-06-13 19:39:55.193059+00:00
e65eb7e43028cf2176c06105c54751bea54b5df388eec5b2f0c145f61d1541dd,253125,902886,Will Sam Altman sue OpenAI?,Will Sam Altman sue OpenAI?,llama3:latest,historical-market-filter-v3,False,No concrete economic channel,2026-06-13 19:39:55.193059+00:00
4978f596be387c4aa41473cbaf0a8aaf7f3b40ff98007fd18f447e7d860e9dfb,253165,902894,Emmett Shear still CEO of OpenAI by end of week?,Emmett Shear still CEO of OpenAI by end of week?,llama3:latest,historical-market-filter-v3,False,No concrete economic channel,2026-06-13 19:39:55.193059+00:00
f04476ea68c6b16e0df0150e2cb376062a707d3064da4f27912b7bee8313cbd9,253166,902895,OpenAI board out by end of week?,OpenAI board out by end of week?,llama3:latest,historical-market-filter-v3,False,No concrete economic channel,2026-06-13 19:39:55.193059+00:00
78fb7c835aa96140bea2b003cd7063e494fbec8535e1b020e875ba5f16d669f5,253223,902933,Will Elon Musk visit Gaza in 2023?,Will Elon Musk visit Gaza in 2023?,llama3:latest,historical-market-filter-v3,False,No plausible economic transmission channel exists.,2026-06-13 19:40:07.206900+00:00
75791a764a5251c69a7ef7502bd2a12141502fbed59ebb4bddee555b3f21cf13,253568,903171,Will Iran officially join the war before February?,Will Iran officially join the war before February?,llama3:latest,historical-market-filter-v3,False,No plausible economic transmission channel exists.,2026-06-13 19:40:07.206900+00:00
add044e9019c309ac6506debef286e11c0b4f2dd77d3804eb5ede7f057bf9c2b,254049,903309,Will US attack Iran by February 15?,Will US attack Iran by February 15?,llama3:latest,historical-market-filter-v3,False,No plausible economic transmission channel exists.,2026-06-13 19:40:07.206900+00:00
44faadd8073d33118d9bacb57afb27b1b67f35f8e31d4036fba98dc3ec3ec3a0,254184,903358,US/Iran declare war before March?,US/Iran declare war before March?,llama3:latest,historical-market-filter-v3,False,no concrete economic channel exists,2026-06-13 19:40:17.650285+00:00
44ab01bca2c1b3ca9f490a76cd7d9a8215c3eae15d213f85395f039249bde910,254185,903359,OpenSea acquired before March?,OpenSea acquired before March?,llama3:latest,historical-market-filter-v3,False,Not a financial market-related event.,2026-06-13 19:40:17.650285+00:00
cdce92c3434f2a02527c75bb1b9158a7300659f6969acab0e79e67a32a7fa158,254271,903388,TikTok/UMG deal before March?,TikTok/UMG deal before March?,llama3:latest,historical-market-filter-v3,False,Not a financial market-related event.,2026-06-13 19:40:17.650285+00:00
715ae8f1ff7ef04150231542eebf2a57685a672abf710194ba5f6df7b2011b22,254321,903398,Will Warpcast break top 5 on the iOS App Store in February?,Will Warpcast break top 5 on the iOS App Store in February?,llama3:latest,historical-market-filter-v3,False,This event does not have a concrete economic channel that would directly affect publicly traded stocks or equity ETFs.,2026-06-13 19:40:30.757667+00:00
e7c218179ec645ff883400c7e6fc175ad3180e373c70e6c1f9c1e13e009a5fde,254331,903402,Will Warpcast flip X on the app store in February?,Will Warpcast flip X on the app store in February?,llama3:latest,historical-market-filter-v3,False,This event does not have a concrete economic channel that would directly affect publicly traded stocks or equity ETFs.,2026-06-13 19:40:30.757667+00:00
6e5da6deb0e591cc9300d6a812e186d89b714180901a58f3efbac7a79de1cb88,254557,903499,Ukraine aid package by March 31?,Ukraine aid package by March 31?,llama3:latest,historical-market-filter-v3,False,This event does not have a concrete economic channel that would directly affect publicly traded stocks or equity ETFs.,2026-06-13 19:40:30.757667+00:00
71a66bc6c527e64dfd2e33b1cc8eae985309710f1e46cc7781b1858c7b7825f5,255308,903731,Coinbase a top 25 app in March?,Coinbase a top 25 app in March?,llama3:latest,historical-market-filter-v3,False,This event does not have a concrete economic channel that would directly affect publicly traded stocks or equity ETFs.,2026-06-13 19:40:30.757667+00:00
454aa7f47ec9e531bfedee86d268b8c83d0620092e52f33eacd9c661b5803403,255314,903737,Musk drops OpenAI case in March?,Musk drops OpenAI case in March?,llama3:latest,historical-market-filter-v3,False,This event does not have a concrete economic channel that would directly affect publicly traded stocks or equity ETFs.,2026-06-13 19:40:30.757667+00:00
27544dc18444091e07219ba3322c7239c3c982f3682f2c9784db0d82d76795d8,500325,10084,Will Israel invade Lebanon before May?,Will Israel invade Lebanon before May?,llama3:latest,historical-market-filter-v3,False,Will Israel invade Lebanon before May?,2026-06-13 19:40:41.203157+00:00
2000c1556b5b46506dad65794919ba402dbbb60439893a8301da3a6ee907bf43,500494,10162,$DJT Market Cap on April 5,$DJT market cap less than $8b on April 5?,llama3:latest,historical-market-filter-v3,False,$DJT Market Cap on April 5,2026-06-13 19:40:41.203157+00:00
35ea8f0685ffcee88d9b04ce1b963efce8b63e2144ba64e31c86a84518870c67,500495,10162,$DJT Market Cap on April 5,$DJT market cap between $8-$9b on April 5?,llama3:latest,historical-market-filter-v3,False,$DJT market cap less than $8b on April 5?,2026-06-13 19:40:41.203157+00:00
1437a4fc757fde06c83df153af1d7b0e556a8d813cfb6446fef0adde854b8ea0,500496,10162,$DJT Market Cap on April 5,$DJT market cap between $9-$10b on April 5?,llama3:latest,historical-market-filter-v3,False,$DJT market cap between $8-$9b on April 5?,2026-06-13 19:40:41.203157+00:00
ba39e15c14c8bcdf89814682afa886f28ccb3b5f70c544209af198a2317f195d,500497,10162,$DJT Market Cap on April 5,$DJT market cap between $10-$11b on April 5?,llama3:latest,historical-market-filter-v3,False,$DJT market cap between $9-$10b on April 5?,2026-06-13 19:40:41.203157+00:00
4bc8bd15234ab3d80447115e6d5563be20b48dc4c61468e1a16806dda83b09a1,500498,10162,$DJT Market Cap on April 5,$DJT market cap between $11-$12b on April 5?,llama3:latest,historical-market-filter-v3,False,$DJT market cap between $10-$11b on April 5?,2026-06-13 19:40:41.203157+00:00
ad90f54fee6e7fa2de6a599b4b053037f4d9b70009289528769e79811749b269,500797,10287,X banned in Brazil before May?,X banned in Brazil before May?,llama3:latest,historical-market-filter-v3,False,X banned in Brazil is not a macroeconomic event that would directly affect publicly traded stocks or equity ETFs.,2026-06-13 19:40:57.022792+00:00
85283a09dab0b35a62a6ade5d4ef003628daaab0dff19342814334853418e4da,500857,10314,"VanEck tweet ""retardio"" in April?","VanEck tweet ""retardio"" in April?",llama3:latest,historical-market-filter-v3,False,"VanEck tweet ""retardio"" is not a macroeconomic event that would directly affect publicly traded stocks or equity ETFs.",2026-06-13 19:40:57.022792+00:00
b61f3540a0b13c6ea5e53bc8437d0fbbe47bc82b306db79e52f8603453128d9a,501015,10383,Katherine Maher out as NPR CEO in April?,Katherine Maher out as NPR CEO in April?,llama3:latest,historical-market-filter-v3,False,Katherine Maher out as NPR CEO is not a macroeconomic event that would directly affect publicly traded stocks or equity ETFs.,2026-06-13 19:40:57.022792+00:00
f2f6c5689ce8a6bc0883800a30950ccc6a3f8e0ea74045b273b2e94212d2bb81,501028,10396,X relaunches Vine before June?,X relaunches Vine before June?,llama3:latest,historical-market-filter-v3,False,X relaunches Vine before June is not a macroeconomic event that would directly affect publicly traded stocks or equity ETFs.,2026-06-13 19:40:57.022792+00:00
480bcb5d89d023a8e4a76cae9589fd8f70a5a3646b402a1ca6039cf8e756ee93,501283,10529,$DJT market cap on May 15,$DJT market cap less than $5b on May 15?,llama3:latest,historical-market-filter-v3,False,This event does not have a concrete economic channel that affects publicly traded stocks or equity ETFs.,2026-06-13 19:41:09.053847+00:00
cbaa5159dc8df2825622b4b44147991eaa394213e1fe3b669759aed06e82036d,501516,10626,OpenAI public release of search product by Friday?,OpenAI public release of search product by Friday?,llama3:latest,historical-market-filter-v3,False,This event does not have a concrete economic channel that affects publicly traded stocks or equity ETFs.,2026-06-13 19:41:09.053847+00:00
eb777966b0757543cccb82d26d1c05ca274d63a08f0a05ca9666da5fbc2dbafd,501607,10663,Ilya's next company?,Will Ilya join Anthropic?,llama3:latest,historical-market-filter-v3,False,No plausible economic channel exists.,2026-06-13 19:41:20.112879+00:00
897f77d18317e8b6a6961bd5ba7b8af37159a7d551e278251666ed440e459e37,501608,10663,Ilya's next company?,Will Ilya join Google?,llama3:latest,historical-market-filter-v3,False,No plausible economic channel exists.,2026-06-13 19:41:20.112879+00:00
b0137b43dc59ad1fed73f621883552b0a4b8d46f3b377fae986326f563f8543a,501609,10663,Ilya's next company?,Will Ilya join X?,llama3:latest,historical-market-filter-v3,False,No plausible economic channel exists.,2026-06-13 19:41:20.112879+00:00
1e813d202f9e8438a10cd97491971e3f2e45705b332c6ce8b0ae7eb9700ea447,501610,10663,Ilya's next company?,Will Ilya join Apple?,llama3:latest,historical-market-filter-v3,False,No plausible economic channel exists.,2026-06-13 19:41:20.112879+00:00
3d638ce37c8da3a9f05d6b4ea9aeed57743fd085c94e7a2d9bf0799c3cd5b620,501611,10663,Ilya's next company?,Will Ilya join another company?,llama3:latest,historical-market-filter-v3,False,No plausible economic channel exists.,2026-06-13 19:41:20.112879+00:00
7685012a526c443a603dcf5ca7381a31af05bb676ff81de3ba38bd53589f21fd,501612,10663,Ilya's next company?,Ilya doesn't announce plans by May 31?,llama3:latest,historical-market-filter-v3,False,No plausible economic channel exists.,2026-06-13 19:41:20.112879+00:00
76f805635819bb8412cfd1087bc0eaf88572c0312c5ee424c6e9bbbcd11b51a2,501613,10663,Ilya's next company?,Ilya joins a new company?,llama3:latest,historical-market-filter-v3,False,No plausible economic channel exists.,2026-06-13 19:41:20.112879+00:00
