input_hash,market_id,event_id,event_title,market_question,model_name,prompt_version,relevant,reason,processed_at
167af404d28b633d7d56bb18352427e2e2cfd049a8db65155dc0ed43b5d5d2bf,252645,902670,Will any major Iranian oil refinery be taken out by Nov 30?,Will any major Iranian oil refinery be taken out by Nov 30?,llama3:latest,historical-market-filter-v3,True,Geopolitical shock with a concrete economic channel (Iranian oil refinery taken out),2026-06-13 19:39:55.193059+00:00
8375fba8c1d9672e13cd300e51cd1f17614ff0332d1d9ddd4b995f4b699230eb,252842,902780,Will US attack Iran by Nov 30?,Will US attack Iran by Nov 30?,llama3:latest,historical-market-filter-v3,False,No concrete economic channel,2026-06-13 19:39:55.193059+00:00
8f61da3a00ade296c256a96fe4c642ad623a08c09730d374bd5dc99b3aa8fb56,252928,902804,Will WeWork announce bankruptcy by November 12?,Will WeWork announce bankruptcy by November 12?,llama3:latest,historical-market-filter-v3,True,Corporate event with a concrete economic channel (WeWork bankruptcy),2026-06-13 19:39:55.193059+00:00
e728e8ea351b6a56e8aa957cacfce3439f317a9255f2adbee00b7aabab242450,253119,902880,OpenAI permanent CEO by Dec 31?,OpenAI permanent CEO by Dec 31?,llama3:latest,historical-market-filter-v3,False,No concrete economic channel,2026-06-13 19:39:55.193059+00:00
beb539c5507110dd10cdc9d880d015c9a5fd7ab9217c0941c47b86725d27a07f,253121,902882,Was Sam Altman fired for sexually abusing his sister?,Was Sam Altman fired for sexually abusing his sister?,llama3:latest,historical-market-filter-v3,False,No concrete economic channel,2026-06-13 19:39:55.193059+00:00
f3fba7c1c6dccb882089df4dd0af52c443f18f507005bff43765d967b62293e7,253122,902883,Will Sam Altman join Grok by Dec 31?,Will Sam Altman join Grok by Dec 31?,llama3:latest,historical-market-filter-v3,False,No concrete economic channel,2026-06-13 19:39:55.193059+00:00
4f668ab601cf30d7b261ae5ae510f389125ebf09b0eabd3c561b6cf38f3a3d16,253123,902884,Was Sam Altman fired due to data leak / privacy issue?,Was Sam Altman fired due to data leak / privacy issue?,llama3:latest,historical-market-filter-v3,False,No concrete economic channel,2026-06-13 19:39:55.193059+00:00
a2f192c725b34f8cc385191bdee005a08d0eb6561b4688eada3478d24b4d3a02,253124,902885,Sam Altman announces new company by Nov 24?,Sam Altman announces new company by Nov 24?,llama3:latest,historical-market-filter-v3,False,No concrete economic channel,2026-06-13 19:39:55.193059+00:00
e65eb7e43028cf2176c06105c54751bea54b5df388eec5b2f0c145f61d1541dd,253125,902886,Will Sam Altman sue OpenAI?,Will Sam Altman sue OpenAI?,llama3:latest,historical-market-filter-v3,False,No concrete economic channel,2026-06-13 19:39:55.193059+00:00
fd99fe52bd43308b5c2ef8ace1a3fe3f73e9739bd4f9466a2f77adb053e895fa,253126,902887,Ilya still at OpenAI on Jan 1?,Ilya still at OpenAI on Jan 1?,llama3:latest,historical-market-filter-v3,True,Corporate event with a concrete economic channel (OpenAI leadership change),2026-06-13 19:39:55.193059+00:00
522ec334340d6cb352de83bb8bba8dfdddd94e19f93879bc748236e21a4e7fc8,253127,902888,Sam back as CEO of OpenAI?,Sam back as CEO of OpenAI?,llama3:latest,historical-market-filter-v3,True,Corporate event with a concrete economic channel (OpenAI CEO change),2026-06-13 19:39:55.193059+00:00
4978f596be387c4aa41473cbaf0a8aaf7f3b40ff98007fd18f447e7d860e9dfb,253165,902894,Emmett Shear still CEO of OpenAI by end of week?,Emmett Shear still CEO of OpenAI by end of week?,llama3:latest,historical-market-filter-v3,False,No concrete economic channel,2026-06-13 19:39:55.193059+00:00
